SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.2,0.27,0.22,0.33
-19,0.21,0.19,0.16,0.19
-18,0.18,0.19,0.25,0.19
-17,0.22,0.11,0.22,0.24
-16,0.2,0.13,0.13,0.08
-15,0.06,0.16,0.08,0.06
-14,0.09,0.11,0.08,0.17
-13,0.1,0.09,0.03,0.1
-12,0.06,0.1,0.04,0.0
-11,0.06,0.03,0.06,0.0
-10.0,0.0,0.0,0.03,0.06
-9.5,0.0,0.0,0.03,0.02
-9.0,0.0,0.01,0.03,0.01
-8.5,0.02,0.0,0.01,0.08
-8.0,0.01,0.02,0.02,0.02
-7.5,0.0,0.0,0.03,0.0
-7.0,0.0,0.0,0.0,0.0
-6.5,0.0,0.0,0.0,0.0
-6.0,0.0,0.0,0.0,0.0
-5.5,0.0,0.0,0.03,0.0
-5.0,0.0,0.0,0.0,0.0
-4.5,0.0,0.0,0.0,0.0
-4.0,0.0,0.0,0.0,0.0
-3.5,0.0,0.0,0.0,0.0
-3.0,0.0,0.0,0.0,0.0
-2.9,0.0,0.0,0.0,0.0
-2.8,0.0,0.0,0.0,0.0
-2.7,0.0,0.0,0.0,0.0
-2.6,0.0,0.0,0.0,0.0
-2.5,0.0,0.0,0.0,0.0
-2.4,0.0,0.0,0.0,0.0
-2.3,0.0,0.0,0.0,0.0
-2.2,0.0,0.0,0.0,0.0
-2.1,0.0,0.0,0.0,0.0
-2.0,0.0,0.0,0.0,0.0
-1.9,0.0,0.0,0.0,0.0
-1.8,0.0,0.0,0.0,0.0
-1.7,0.0,0.0,0.0,0.0
-1.6,0.0,0.0,0.0,0.0
-1.5,0.0,0.0,0.0,0.0
-1.4,0.0,0.0,0.0,0.0
-1.3,0.0,0.0,0.0,0.0
-1.2,0.0,0.0,0.0,0.0
-1.1,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0
-0.9,0.0,0.0,0.0,0.0
-0.8,0.0,0.0,0.0,0.0
-0.7,0.0,0.0,0.0,0.0
-0.6,0.0,0.0,0.0,0.0
-0.5,0.0,0.0,0.0,0.0
-0.4,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0
1.4,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0
1.9,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0
2.3,0.0,0.0,0.0,0.0
2.4,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0
2.8,0.0,0.0,0.0,0.0
2.9,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0,0.0
3.4,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0
3.6,0.0,0.0,0.0,0.0
3.7,0.0,0.0,0.0,0.0
3.8,0.0,0.0,0.0,0.0
3.9,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.1,0.0,0.0,0.0,0.0
4.2,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0
4.6,0.0,0.0,0.0,0.0
4.7,0.0,0.0,0.0,0.0
4.8,0.0,0.0,0.0,0.0
4.9,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
